core,section,top_depth,index_mark
dic1,140,0,0.1
dic1,141,0,0.1
dic1,142,133.252,0.1
dic1,143,0,0.1
dic1,144,0,0.1
dic1,145,0,0.1
dic1,146,0,0.1
dic1,147,0,0.1
dic1,148,0,0.1
dic1,149,0,0.1
dic1,150,140.125,0.1
dic1,151,141.955,0.1
dic1,152,141.866,0.1
dic1,153,142.53,0.1
dic1,154,143.026,0.1
dic1,155,143.962,0.1
dic1,156,144.758,0.1
dic1,157,145.831,0.1
dic1,158,146.809,0.1
dic1,159,147.598,0.1
dic1,160,148.504,0.1
dic1,161,149.298,0.1
dic1,162,150.328,0.1
dic1,163,151.195,0.1
dic1,164,152.228,0.1
dic1,165,153.158,0.1
dic1,166,154.096,0.1
dic1,167,154.911,0.1
dic1,168,155.744,0.1
dic1,169,156.703,0.1
dic1,170,157.697,0.1
dic1,171,158.493,0.1
dic1,172,159.518,0.1
dic1,173,160.443,0.1
dic1,174,161.384,0.1
dic1,175,162.299,0.1
dic1,176,163.316,0.1
dic1,177,164.252,0.1
dic1,178,165.177,0.1
dic1,179,166.212,0.1
dic1,180,166.967,0.1
dic1,181,168.452,0.1
dic1,182,168.834,0.1
dic1,183,169.495,0.1
dic1,184,171.15,0.1
dic1,185,171.485,0.1
dic1,186,172.419,0.1
dic1,187,0,0.1
dic1,188,0,0.1
dic1,189,174.985,0.1
dic1,190,175.922,0.1
dic1,191,176.133,0.1
dic1,192,0,0.1
dic1,193,0,0.1
dic1,194,178.933,0.1
dic1,195,0,0.1
dic1,196,0,0.1
dic1,197,0,0.1
dic1,198,0,0.1
dic1,199,0,0.1
dic1,200,0,0.1
dic1,201,0,0.1
dic1,202,0,0.1
dic1,203,0,0.1
dic1,204,0,0.1
dic1,205,0,0.1
dic1,206,0,0.1
dic1,207,0,0.1
dic1,208,0,0.1
dic1,209,0,0.1
dic1,210,0,0.1
dic1,211,0,0.1
dic1,184a,170.607,0.1
dic1,187a,173.385,0.1
dic1,187b,173.8,0.1
dic1,188a,174.055,0.1
dic1,188b,174.545,0.1